beeName,filen,colony,ITdist,heatT,pestT,buzzType,freq
B1,teth_C1_B1_1.data,C1,4.181,heatwave,treated,Flight,126.4197531
B1,teth_C1_B1_2.data,C1,4.181,heatwave,treated,Flight,131.2820513
B1,teth_C1_B1_10.data,C1,4.181,heatwave,treated,Flight,134.7368421
B1,teth_C1_B1_9.data,C1,4.181,heatwave,treated,Flight,138.3783784
B1,teth_C1_B1_4.data,C1,4.181,heatwave,treated,Defence,213.3333333
B1,teth_C1_B1_6.data,C1,4.181,heatwave,treated,Defence,217.8723404
B1,teth_C1_B1_3.data,C1,4.181,heatwave,treated,Defence,269.4736842
B1,teth_C1_B1_7.data,C1,4.181,heatwave,treated,Defence,269.4736842
B1,teth_C1_B1_8.data,C1,4.181,heatwave,treated,Defence,310.3030303
B10,teth_C1_B10_8.data,C1,4.406,heatwave,treated,Flight,123.373494
B10,teth_C1_B10_7.data,C1,4.406,heatwave,treated,Flight,128
B10,teth_C1_B10_11.data,C1,4.406,heatwave,treated,Flight,129.6202532
B10,teth_C1_B10_9.data,C1,4.406,heatwave,treated,Flight,129.6202532
B10,teth_C1_B10_10.data,C1,4.406,heatwave,treated,Flight,131.2820513
B10,teth_C1_B10_12.data,C1,4.406,heatwave,treated,Flight,140.2739726
B10,teth_C1_B10_6.data,C1,4.406,heatwave,treated,Defence,170.6666667
B10,teth_C1_B10_1.data,C1,4.406,heatwave,treated,Defence,189.6296296
B10,teth_C1_B10_2.data,C1,4.406,heatwave,treated,Defence,189.6296296
B10,teth_C1_B10_4.data,C1,4.406,heatwave,treated,Defence,193.2075472
B10,teth_C1_B10_3.data,C1,4.406,heatwave,treated,Defence,208.9795918
B10,teth_C1_B10_5.data,C1,4.406,heatwave,treated,Defence,217.8723404
B11,teth_C1_B11_4.data,C1,4.303,heatwave,treated,Flight,150.5882353
B11,teth_C1_B11_5.data,C1,4.303,heatwave,treated,Flight,150.5882353
B11,teth_C1_B11_2.data,C1,4.303,heatwave,treated,Flight,152.8358209
B11,teth_C1_B11_3.data,C1,4.303,heatwave,treated,Flight,152.8358209
B11,teth_C1_B11_1.data,C1,4.303,heatwave,treated,Flight,157.5384615
B11,teth_C1_B11_9.data,C1,4.303,heatwave,treated,Defence,276.7567568
B11,teth_C1_B11_6.data,C1,4.303,heatwave,treated,Defence,284.4444444
B11,teth_C1_B11_8.data,C1,4.303,heatwave,treated,Defence,284.4444444
B11,teth_C1_B11_7.data,C1,4.303,heatwave,treated,Defence,301.1764706
B11,teth_C1_B11_10.data,C1,4.303,heatwave,treated,Defence,320
B11,teth_C1_B11_11.data,C1,4.303,heatwave,treated,Defence,320
B11,teth_C1_B11_12.data,C1,4.303,heatwave,treated,Defence,341.3333333
B12,teth_C1_B12_3.data,C1,3.999,heatwave,treated,Flight,123.373494
B12,teth_C1_B12_1.data,C1,3.999,heatwave,treated,Flight,129.6202532
B12,teth_C1_B12_5.data,C1,3.999,heatwave,treated,Flight,131.2820513
B12,teth_C1_B12_2.data,C1,3.999,heatwave,treated,Flight,132.987013
B12,teth_C1_B12_4.data,C1,3.999,heatwave,treated,Flight,132.987013
B12,teth_C1_B12_6.data,C1,3.999,heatwave,treated,Defence,155.1515152
